id1,nachname,vorname,herkunftsort,herkunftsland,titel,fach,methoden_typ,spache,untersuchungsgegenstand,stoffklasse,jahr,uni,signatur,gefunden,fundort,sonderdruck,digitalisat,bork,hoermann,ledermann,historische_einleitung_ledermann,historische_einleitung_vorhanden,fokus_historischer_teil,thema_historischer_teil,zustand,provenienz_spuren,tschirch_betreuung,andere_betreuer,sprachregister,seiten_gesamt,seiten_historisch,anteil_historisch,vorkommende_epochen,wichtige_historische_personen_im_text,zaesuren_zeitkontext,quellen_primaer,quellen_sekundaer,zitiert_tschirch,tschirch_werke,abschnitte_handbuch,quellentypen,historie_stellenwert,historie_stellenwert_skala,narrative_form,wozu_dient_geschichte,Created time,Last modified time
1895-DISS-HM,Hohenadel,Max,unbekannt,unbekannt,"Pharmacognostische Studien über das Sagapenum",Pharmakognosie,deskriptiv-analytisch,de,Sagapen,Gummiharze,1895,Universität Bern, BeM ZB Diss var 1618,true,Speichermagazin,false,false,true,true,true,false,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,"Erwähnung, Bschreibung und bisherige Untersuchungen der Droge","gut,leicht vergilbt",,true,,wertend-positiv,48,6,0.125,"Altertum,Mittelalter,Anfang 19. Jahrhundert,Mitte 19. Jahrhundert,Frühe Neuzeit","Abu Muhammad ibn al-Baitar,Pedanios Dioskurides,Gaius Plinius Secundus Maior,Serapion,Valerius Cordus,Pierre-Joseph Pelletier,Daniel Hanbury,Henri Braconnot,Caspar Neumann,Johann Schröder,Michael Bernhard Valentini",Hochimperialismus,"Lehrbuch der Chemie (Berzelius),Theodor Tabers Kräuterbuch (1664),Museum Museorum (Valentini),Arzney-Schatz (Schröder),System der Materia medica nach chemischen Principien (Pfaff)","Repetorium für die Pharmazie (Buchner),Pharmakographia a history of drugs (Flückiger und Hanbury),Histoire nautrelles des Drogues simples (Guibourt)",false,,,"Fachzeitschriften,Dissertationen,Jahresberichte,Fachliteratur,Pharmakopöe,Kräuterbuch,Arzneibuch","wird auf verschiedene Epochen eingegangen, verschiedene Quellen auch Primärquellen verwendet, Originalzitate, Auszüge aus Pharmakopöe",2,thematisch-systematisch,"kontextualisierend,legitimierend,kanonbildend",2026-02-23 14:24:00+00:00,2026-04-09 13:24:08+00:00
1895-DISS-LG,Lutz,Gotthilf,Winterthur,Schweizerische Eidgenossenschaft,Die oblito-schizogenen Secretbehälter der Myrtaceen.,Pharmakognosie,,de,,,1895,Universität Bern,PH D 240 P,true,IMG,,,true,true,true,,false,,,"gut,vergilbt",,true,,,39,0,0,,,,,,,,,,,0,,,2026-02-23 11:57:39+00:00,2026-03-30 12:32:36+00:00
1895-DISS-LH,Luz,Heinrich,unbekannt,unbekannt,Ueber das Ammoniacum,Pharmakognosie,deskriptiv-analytisch,de,Ammoniacum,Gummiharze,1895,Universität Bern,PH D 358 P,true,IMG,,,true,true,true,true,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,"Entdeckung, Beschreibung und Untersuchung der Ammoniakpflanze und dessen Gummiharzes",gut,,true,,"deskriptiv-neutral,wertend-kritisch",35,1,0.02857142857142857,"Altertum,Frühe Neuzeit","Hippokrates von Kos,Gaius Plinius Secundus Maior,Jean Chardin,Pedanios Dioskurides",Hochimperialismus,,"Lehrbuch der Pharmakognosie des Pflanzenreiches : Naturgeschichte der wichtigeren Arzneistoffe vegetabilischen Ursprunges (Flückiger),Enzyklopädie der medizin.- pharmazeut. Naturalien- und Rohwaarenkunde (Martiny)",true,Publikation,,Historische Sekundärquellen,"wird nur auf einer Seite auf Geschichte eingegangen, aber wird zentral für die Herleitung, nicht nur Aufzählung, sondern, es wird auf die Geschichte eingegangen",2,"thematisch-systematisch,personenzentriert","kontextualisierend,legitimierend",2026-02-23 11:57:39+00:00,2026-04-09 13:29:29+00:00
1895-DISS-SW,Sieck,Willy,Bad Essen (Osnabrück),Deutsches Reich,Die schizolysigenen Secretbehälter.,Pharmakognosie,,de,,,1895,Universität Bern,PH D 358 P,true,IMG,,,true,false,true,,false,,,gut,,true,,,46,0,0,,,,,,,,,,,0,,,2026-02-23 11:57:39+00:00,2026-03-30 12:32:39+00:00
1896-DISS-BM,Biermann,Max,Bünde (in Westfalen),Deutsches Reich,Beiträge zur Kenntnis der Entwicklungsgeschichte der Früchte von Citrus vulgaris Risso und anderer Citrusarten.,Pharmakognosie,,de,,,1896,Universität Bern,PH D 168 P,true,IMG,,,true,true,true,,,,,"gut,leicht vergilbt",,true,,,52,0,0,,,,,,,,,,,0,,,2026-02-23 11:57:39+00:00,2026-03-30 13:00:31+00:00
1896-DISS-BO,Buss,Otto,Glarus,Schweizerische Eidgenossenschaft,Beiträge zur Spectralanalyse einiger toxikologisch und pharmakognostisch wichtiger Farbstoffe mit besonderer Berücksichtigung des Ultraviolett.,Pharmakognosie,mirkochemisch-physikalisch,de,sonstiges,Sonstige,1896,Universität Bern,PH D 177 P,true,IMG,,,true,false,true,,true,"Naturwissenschafts-/Disziplingeschichte,Pharmazeutische Chemie-/Technologiegeschichte",Entdeckung und Entwicklung der Spektralanalyse mit Fokus auf Farbstoffe,"gut,leicht vergilbt",,true,,wertend-positiv,48,1,0.020833333333333332,Mitte 19. Jahrhundert,"Robert Wilhelm Bunsen,Gustav Robert Kirchhoff",Hochimperialismus,,,true,Untersuchungen über das Chlorophyll,,Enzyklopädie,"wird auf Ursprung der neueren Hilfswissenschaft eingegangen, aber nur einleitende Funktion",1,"teleologisch,chronologisch","kontextualisierend,legitimierend",2026-02-23 11:57:39+00:00,2026-04-08 13:20:31+00:00
1896-DISS-DK,Dieterich,Karl,Helfenberg (b. Dresden),Deutsches Reich,Über das Palmendrachenblut.,Pharmakognosie,deskriptiv-analytisch,de,Palmendrachenblut,Harze,1896,Universität Bern,PH D 358 P,true,IMG,,,true,true,true,,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Gewinnung und Untersuchung des Drachenblutes,gut,,true,,deskriptiv-neutral,39,4,0.10256410256410256,Mitte 19. Jahrhundert,Georg Eberhard Rumphius,Hochimperialismus,,,true,Indische Heil- und Nutzpflanzen und deren Cultur,,Fachzeitschriften,"geringer, wird nicht wirklich auf Geschichte eingegangen, Auflistung von Arbeiten",1,thematisch-systematisch,kontextualisierend,2026-02-23 11:57:39+00:00,2026-04-08 08:49:18+00:00
1896-DISS-SA,Stephan,Alfred,Halle (an der Saale),Deutsches Reich,Über den Zanzibar-Copal,Pharmakognosie,deskriptiv-analytisch,de,Copal,Harze,1896,Universität Bern,PH D 358 P,true,IMG,,,true,true,true,,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Alles rund um Copale,gut,,true,,deskriptiv-neutral,57,8,0.14035087719298245,Gesamtes 19. Jahrhundert,"Theodor Wilhelm Christian Martius,Jöns Jakob Berzelius",Hochimperialismus,,"Histoire nautrelles des Drogues simples (Guibourt),Pharmakognosie (Martius)",,,,"Lehrbücher,Fachzeitschriften,Jahrbücher,Historische Sekundärquellen","wird ein historisches Werk (histoire nat. d. drog.) als Quelle verwendet, geographischer Kontext spielt eine grössere Rolle",1,thematisch-systematisch,kontextualisierend,2026-02-23 11:57:39+00:00,2026-04-09 14:24:30+00:00
1896-DISS-SJ,Schlotterbeck,Julius Otto,Michigan (U.S.A),Vereinigte Staaten von Amerika,Beiträge zur Entwicklungsgeschichte pharmakognostisch wichtiger Samen.,Pharmakognosie,,de,,,1896,Universität Bern,PH D 269 P,true,IMG,,,true,true,true,,,,,"gut,vergilbt",,true,,,52,0,0,,,,,,,,,,,0,,,2026-02-23 11:57:39+00:00,2026-03-30 12:32:43+00:00
1896-DISS-WJ,Wittlin,Jacob,,,Ueber die Bildung des Kalkoxalat-Taschen mit besonderer Berücksichtigung offizineller Pflanzen.,Pharmakognosie,,de,,,1896,Universität Bern,PH D 358 P,true,IMG,true,,true,false,true,,,,,"gut,leicht vergilbt",,true,,,26,0,0,,,,,,,,,,,0,,,2026-02-23 11:57:39+00:00,2026-03-30 13:25:19+00:00
